barcode,status
11830,in-stock
11831,in-stock
11832,in-stock
11833,sold
11834,in-stock
11835,in-stock
11836,returned
11837,in-stock
11838,in-stock
11839,in-stock
11840,in-stock
11841,personal-use
11842,in-stock
11843,in-stock
11844,in-stock
11845,sold
11846,missing
11847,in-stock
11848,in-stock
11849,barter
11850,in-stock
11851,in-stock
11852,personal-use
11853,sold
11854,in-stock
11855,in-stock
11856,in-stock
11857,in-stock
11858,in-stock
11859,in-stock
11860,in-stock
11861,in-stock
11862,in-stock
11863,in-stock
11864,in-stock
11865,in-stock
11866,in-stock
11867,missing
11868,sold
11869,in-stock
11870,in-stock
11871,consignment
11872,sold
11873,in-stock
11874,in-stock
11875,missing
11876,in-stock
11877,in-stock
11878,in-stock
11879,in-stock
11880,in-stock
11881,in-stock
11882,sold
11883,in-stock
11884,in-stock
11885,missing
11886,wish-list
11887,in-stock
11888,in-stock
11889,in-stock
11890,consignment
11891,in-stock
11892,in-stock
11893,other
11894,in-stock
11895,sold
11896,in-stock
11897,in-stock
11898,sold
11899,sold
11900,in-stock
11901,in-stock
11902,inventory-reserved
11903,missing
11904,in-stock
11905,consignment
11906,inventory-reserved
11907,in-stock
11908,in-stock
11909,in-stock
11910,in-stock
11911,in-stock
11912,in-stock
11913,in-stock
11914,in-stock
11915,in-stock
11916,other
11917,consignment
11918,consignment
11919,in-stock
11920,in-stock
11921,in-stock
11922,other
11923,in-stock
11924,consignment
11925,in-stock
11926,in-stock
11927,in-stock
11928,inventory-reserved
11929,returned
11930,in-stock
11931,in-stock
11932,in-stock
11933,in-stock
11934,in-stock
11935,in-stock
11936,in-stock
11937,in-stock
11938,in-stock
11939,in-stock
11940,in-stock
11941,sold
11942,in-stock
11943,in-stock
11944,in-stock
11945,in-stock
11946,in-stock
11947,in-stock
11948,in-stock
11949,in-stock
11950,in-stock
11951,in-stock
11952,in-stock
11953,in-stock
11954,in-stock
11955,sold
11956,in-stock
11957,consignment
11958,consignment
11959,in-stock
11960,other
11961,consignment
11962,sold
11963,in-stock
11964,fix-return
11965,in-stock
11966,in-stock
11967,in-stock
11968,sold
11969,in-stock
11970,in-stock
11971,in-stock
11972,in-stock
11973,in-stock
11974,sold
11975,in-stock
11976,consignment
11977,in-stock
11978,in-stock
11979,fix-return
11980,consignment
11981,in-stock
11982,in-stock
11983,in-stock
11984,in-stock
11985,in-stock
11986,in-stock
11987,in-stock
11988,in-stock
11989,in-stock
11990,barter
11991,in-stock
11992,in-stock
11993,in-stock
11994,in-stock
11995,in-stock
11996,in-stock
11997,sold
11998,in-stock
11999,in-stock
12000,in-stock
